"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11022","Buscar un producto existente muestra resultados {""producto"":""zapatillas""} @TC-001","","2026-09-22","passed","2026-09-22","","Búsqueda de productos en Liverpool @busqueda:","Búsqueda de productos en Liverpool @busqueda:","Buscar un producto existente muestra resultados {""producto"":""zapatillas""} @TC-001"
"","25905","La bolsa muestra el producto que se agregó @TC-029 @TC-032","","2026-09-22","passed","2026-09-22","","Bolsa de compras en Liverpool @carrito:","Bolsa de compras en Liverpool @carrito:","La bolsa muestra el producto que se agregó @TC-029 @TC-032"
"","27282","Eliminar el producto deja la bolsa vacía @TC-043","","2026-09-22","passed","2026-09-22","","Bolsa de compras en Liverpool @carrito:","Bolsa de compras en Liverpool @carrito:","Eliminar el producto deja la bolsa vacía @TC-043"
"","12544","Los resultados corresponden a la búsqueda realizada {""producto"":""zapatillas""} @TC-003","","2026-09-22","passed","2026-09-22","","Búsqueda de productos en Liverpool @busqueda:","Búsqueda de productos en Liverpool @busqueda:","Los resultados corresponden a la búsqueda realizada {""producto"":""zapatillas""} @TC-003"
"","24383","El detalle muestra la información esencial del producto @TC-021","","2026-09-22","passed","2026-09-22","","Detalle de producto en Liverpool @detalle:","Detalle de producto en Liverpool @detalle:","El detalle muestra la información esencial del producto @TC-021"
"","0","Ordenar los resultados de mayor a menor precio @TC-018 @pendiente","","2026-09-22","skipped","2026-09-22","","Filtros y ordenamiento de resultados en Liverpool @filtros:","Filtros y ordenamiento de resultados en Liverpool @filtros:","Ordenar los resultados de mayor a menor precio @TC-018 @pendiente"
"","12427","Buscar un producto inexistente no muestra productos relacionados {""producto"":""productoquenoexistexyz0000""} @TC-002","","2026-09-22","passed","2026-09-22","","Búsqueda de productos en Liverpool @busqueda:","Búsqueda de productos en Liverpool @busqueda:","Buscar un producto inexistente no muestra productos relacionados {""producto"":""productoquenoexistexyz0000""} @TC-002"
"","16954","Ordenar los resultados de menor a mayor precio {""producto"":""zapatillas""} @TC-016 @TC-017 @smoke","","2026-09-22","passed","2026-09-22","","Filtros y ordenamiento de resultados en Liverpool @filtros:","Filtros y ordenamiento de resultados en Liverpool @filtros:","Ordenar los resultados de menor a mayor precio {""producto"":""zapatillas""} @TC-016 @TC-017 @smoke"
"","29908","Buscar un producto inexistente no muestra productos relacionados {""producto"":""qwertzxcvasdf123""} @TC-002","","2026-09-22","passed","2026-09-22","","Búsqueda de productos en Liverpool @busqueda:","Búsqueda de productos en Liverpool @busqueda:","Buscar un producto inexistente no muestra productos relacionados {""producto"":""qwertzxcvasdf123""} @TC-002"
"","27992","Aumentar la cantidad recalcula el subtotal @TC-034 @TC-041","","2026-09-22","passed","2026-09-22","","Bolsa de compras en Liverpool @carrito:","Bolsa de compras en Liverpool @carrito:","Aumentar la cantidad recalcula el subtotal @TC-034 @TC-041"
"","11586","Buscar un producto existente muestra resultados {""producto"":""mochila""} @TC-001","","2026-09-22","passed","2026-09-22","","Búsqueda de productos en Liverpool @busqueda:","Búsqueda de productos en Liverpool @busqueda:","Buscar un producto existente muestra resultados {""producto"":""mochila""} @TC-001"
"","17668","Abrir el detalle de un producto desde los resultados @TC-020 @smoke","","2026-09-22","passed","2026-09-22","","Detalle de producto en Liverpool @detalle:","Detalle de producto en Liverpool @detalle:","Abrir el detalle de un producto desde los resultados @TC-020 @smoke"
"","0","Filtrar los resultados por un rango de precio {""producto"":""mochila"",""minimo"":""500"",""maximo"":""2000""} @TC-007 @TC-008 @TC-009 @pendiente","","2026-09-22","skipped","2026-09-22","","Filtros y ordenamiento de resultados en Liverpool @filtros:","Filtros y ordenamiento de resultados en Liverpool @filtros:","Filtrar los resultados por un rango de precio {""producto"":""mochila"",""minimo"":""500"",""maximo"":""2000""} @TC-007 @TC-008 @TC-009 @pendiente"
"","24161","Agregar un producto a la bolsa actualiza el contador @TC-029 @TC-030 @TC-031 @smoke","","2026-09-22","passed","2026-09-22","","Bolsa de compras en Liverpool @carrito:","Bolsa de compras en Liverpool @carrito:","Agregar un producto a la bolsa actualiza el contador @TC-029 @TC-030 @TC-031 @smoke"
